id,fullname,price
831,STA-Starta,0.0
832,PKB-ParkByte,0.0
833,MAG-Magnet,0.0
834,CCC-摩羯币,0.1254
835,MOJO-MojoCoin,0.0
836,NEOG-NeoGold,0.002951
837,VEC2-VectorAI,0.0
838,SXDT-SXDT,1.2347
839,SMART-SmartBillions,0.0
840,ICO-ico币网,0.0
841,WAC-全民链,0.0
842,611-SixEleven,0.0
843,WAND-WandX,0.124
844,PBL-Publica,0.0
845,BTW-比特世界,0.008085
846,GOLF-Golfcoin,0.0
847,CON-PayCon,0.0
848,MAVRO-Mavro,0.0
849,RAIN-Condensate,0.0
850,XTO-Tao,0.0
851,ABJ-Abjcoin,0.0
852,BPC-奔跑币,0.002409
853,HLB-乐跑圈,0.006464
854,WAX-WAX Token,0.2131
855,ELC-埃拉币,0.0
856,MEDIC-MedicCoin,0.0
857,RED-红币,0.0
858,HBC-红包币,0.0
859,SUP-Superior Coin,0.00024967
860,XNG-Enigma,0.068922
861,FJC-FujiCoin,0.00049206
862,RIC-黎曼币,0.0
863,CAT-客户活动代币,0.0
864,BLZ-BlazeCoin,0.0
865,IIC-智投币,0.00045609
866,NTWK-Network Token,0.0
867,GU-谷腾,0.00681
868,BCW-比特奇迹,0.1122
869,PROUD-PROUD Money,0.061172
870,MOON-月亮币,0.0
871,BC-币宝,0.007001
872,GRAM-GRAM,0.00032404
873,FAIR-公平币,0.0
874,BTCA-Bitair,0.0
875,MOT-奥林巴斯,0.2849
876,CCN-CannaCoin,0.0
877,PXC-凤凰电子币,0.0
878,SPD-Stipend,0.0
879,EVIL-Evil Coin,0.0
880,XQN-Quotient,0.01279
881,CAT-BlockCAT,0.0
882,KRONE-Kronecoin,0.0
883,SH-Shilling,0.0
884,STN-Steneum Coin,0.0
885,CMS-COMSA-ETH,0.0
886,BTG-比基币,0.0
887,HAC-Hackspace Capital,0.0
888,CLD-Cloud,0.0
889,CNX-Cryptonex,0.0
890,TRDT-Trident Group,0.0
891,DDM-娱乐星球,0.007059
892,KB3-B3Coin,0.0
893,SNIP-SnipCoin,0.004221
894,XPY-支付币,0.0
895,EBET-EthBet,0.0
896,DAY-Chronologic,0.9459
897,BIFI-Bitcoin File,0.005736
898,BTE-BitSerial,0.0
899,LEEK-韭菜币,0.036661
900,IOT-IoTcoin,1.7365
901,MNM-Mineum,0.0
902,XRA-Ratecoin,0.005166
903,TELL-Tellurion,0.0
904,SHP-Sharpe Capital,0.0
905,UNRC-UNRC,0.00048198
906,BLX-Blockchain Index,0.0
907,SCT-Soma,0.0
908,AMM-MicroMoney,0.053469
909,NRO-Neuro,0.0
910,VSL-vSlice,0.016869
911,SCL-Sociall,0.0
912,FST-快速币,0.0
913,CFI-Cofound.it,0.0
914,ESP-Espers,0.00024354
915,RKC-Royal Kingdom Coin,0.0
916,IC-Ignition,0.0
917,STRC-StarCredits,0.0
918,QUN-QunQun,0.020915
919,WA-WA Space,0.0
920,MARX-马克思币,0.0
921,HGT-HelloGold,0.013083
922,AUR-极光币,0.0
923,GCC-Global Cryptocurrency,0.0
924,WISH-MyWish,0.0
925,TIG-Tigereum,0.0
926,BTWTY-Bit20,0.0
927,FAL-方格币,0.0
928,HODL-HOdlcoin,0.0
929,EVN-Envion,0.0
930,ETHD-Ethereum Dark,0.0
931,ZEPH-Zephyr,0.0
932,GRX-GRX,0.0
933,KNC-KingN Coin,54.1272
934,URO-尿素币,0.0
935,SWP-Swapcoin,0.0
936,ADL-Adelphoi,0.0
937,BDL-Bitdeal,0.0
938,ZSE-黄金链,0.0
939,BSR-BitSoar,0.0
940,RUP-Rupee,0.0
941,ZUR-Zurcoin,0.0
942,BCDN-BlockCDN,0.006075
943,TOP-顶点币,0.0
944,ASAFE2-AllSafe2,0.0
945,MGE-Merge,0.5666
946,CHC-连锁币,0.0
947,BLU-BlueCoin,0.002651
948,LOG-木币,0.0
949,OXY-Oxycoin,0.007954
950,ACP-AnarchistsPrime,0.0
951,SGR-Sugar Exchange,0.0
952,ARG-银特币,0.0
953,PLC-PLC,0.0
954,MCR-Macro,0.0
955,BITUSD-bitUSD,0.0
956,THS-科技股,0.0
957,VLC-价值链,0.049118
958,MCI-MCI,0.0
959,KED-Darsek,0.0
960,STARS-StarCash Network,0.0
961,IGNIS-火链,0.1
962,VISIO-Visio,0.0
963,PLNC-PLNcoin,0.0
964,FRN-法琅,0.0
965,SCC-StockChain,0.004219
966,IDT-InvestDigital,0.012883
967,GOD-比特上帝,10.8404
968,MONK-猴子币,0.0
969,AGLC-AgrolifeCoin,0.0
970,SUPER-SuperCoin,0.0
971,ELE-Elementrem,0.0
972,FVS-自由链,0.0
973,LMC-邻萌宝,0.0
974,USC-USC,0.0
975,ECO-生态币,0.0
976,NEWB-Newbium,0.0
977,BOB-Dobbscoin,0.0
978,QBT-Cubits,0.0
979,BRAIN-Brain coin,0.0
980,MBRS-Embers,0.0
981,LINX-Linx,0.0
982,MINT-薄荷币,0.0
983,MRS-星际币,0.0
984,SPR-SpreadCoin,0.1328
985,MST-MustangCoin,0.0
986,$$$-Money,0.0
987,BDS-无界币,0.2289
988,WGO-WavesGo,0.0
989,HADE-Hade Platform,0.0
990,BAR-Titanium Blockchain,0.0
991,POST-PostCoin,0.00504
992,GCS-GCS游戏公链,0.001634
993,BLAZR-BlazerCoin,0.0
994,CANDY-Candy Token,0.0001471
995,FBTC-快速比特币,1.345
996,UKG-Unikoin Gold,0.0
997,YAC-雅币,0.020418
998,MBI-Monster Byte,0.0
999,BITOK-Bitok,0.0
1000,WINK-Wink,0.0
1001,PZM-Prizm,0.0
1002,BOPO-播酷云,0.00681
1003,RPX-红色脉冲,0.0
1004,WIC-Wi Coin,0.00096404
1005,OCX-OCX,0.0155
1006,SJCX-Storjcoin X,0.0
1007,ITS-智慧交通链,0.0
1008,PHO-光子币,0.0
1009,LTB-莱特银,0.7873
1010,ICOB-ICOBID,0.0
1011,NDAO-NeuroDAO,0.0
1012,ACC-Accelerator Network,0.0
1013,RIYA-Etheriya,0.0
1014,BSN-Bastonet,0.0
1015,DAR-Darcrus,0.0
1016,AI-POLY AI,0.00049206
1017,GOOD-Goodomy,0.0
1018,PLACO-PlayerCoin,0.0
1019,SIGT-Signatum,0.0
1020,IXC-Ixcoin,0.061506
1021,VOLT-Bitvolt,0.0
1022,CSC-卡西诺币,0.001224
1023,PLX-PlexCoin,0.0
1024,UNIC-UniCoin,0.0
1025,WCT-WCT,0.0
1026,SONO-SONO,0.2495
1027,XRE-RevolverCoin,0.0
1028,SND-Sand Coin,0.0
1029,PRES-特朗普总统,0.02603
1030,WETH-wETH,819.17
1031,CMPCO-CampusCoin,0.0
1032,OPAL-Opal,0.0
1033,ATS-Authorship,0.0
1034,OCL-Oceanlab,0.0
1035,MSD-MSD,0.03442
1036,QUBE-Qube,0.003778
1037,FID-Fidelium,0.0
1038,GIM-Gimli,0.0
1039,BITE-比特以太,0.5
1040,TZC-TrezarCoin,0.0
1041,OHNI-Ohni,0.0
1042,ATMC-ATMCoin,0.0
1043,CDC-消费链,0.00048127
1044,GEERT-GeertCoin,0.0
1045,ITZ-Interzone,0.0
1046,GDC-Grandcoin,0.0
1047,ACC-AdCoin,0.072784
1048,DDN-Data Delivery Network,0.1403
1049,LCT-LendConnect,0.1784
1050,EBCH-eBitcoinCash,0.0
1051,GCC-GuccioneCoin,0.0
1052,XRL-Rialto,0.0
1053,YTN-YENTEN,0.019941
1054,AU-AurumCoin,0.0
1055,WEX-威克斯金币,0.0
1056,COR-Corion,0.0
1057,BSTY-GlobalBoost-Y,0.0
1058,KARMA-大象币,0.0
1059,BCY-Bitcrystals,0.0
1060,EMB-EmberCoin,0.0
1061,FUZZ-FuzzBalls,0.0
1062,CTX-CarTaxi Token,0.0
1063,MZC-民族币,0.0
1064,MILO-MiloCoin,0.002952
1065,DCY-Dinastycoin,0.0
1066,BSM-Bitsum,0.0
1067,COUPE-Coupecoin,0.0
1068,BTCRED-Bitcoin Red,0.0
1069,FC2-FuelCoin,0.0
1070,DMC-动力币,0.0
1071,TEK-泰克币,0.0
1072,VIDZ-PureVidz,0.0
1073,MTNC-Masternodecoin,0.0
1074,JIN-Jin Coin,0.0
1075,GYL-共赢链,0.0
1076,EPC-电竞链,0.010805
1077,PROC-ProCurrency,0.0
1078,KBR-Kubera Coin,0.0
1079,DNA-EncrypGen,0.1605
1080,HVCO-High Voltage,0.0
1081,FDX-FidentiaX,0.0
1082,HC-Harvest Masternode Coin,0.0
1083,SHA-SHACoin,0.0
1084,DRG-Dragon Coins,0.4362
1085,BYC-币缘币,0.00083
1086,MBC-乐链,0.1028
1087,ELITE-Ethereum Lite,0.0
1088,PTC-极宝币,0.0
1089,HEC-英雄链,0.00148
1090,XIN-Infinity Economics,0.0
1091,CRAVE-Crave,0.041061
1092,HERO-Sovereign Hero,0.0
1093,TER-TerraNova,0.1836
1094,IRL-IrishCoin,0.0
1095,WSX-WeAreSatoshi,0.0
1096,LNC-Blocklancer,0.0
1097,MARKS-Bitmark,0.0
1098,DDF-Digital Developers Fund,0.0
1099,FRD-Farad,0.0
1100,BCF-BitcoinFast,0.0
1101,TES-特斯拉币,0.0
1102,ICON-Iconic,0.061348
1103,BUMBA-BumbaCoin,0.001885
1104,BCHABC-Bitcoin Cash ABC,745.59
1105,ROLC-再生链,1.4574
1106,XTZ-Tezos,2.5614
1107,INT-inChat Token,47.1824
1108,VNS-Venus,0.026745
1109,FTO-FuturoCoin,29.4428
1110,BCX-比特无限,0.006685
1111,HOT-Holo,0.008227
1112,EULO-优罗链,0.082108
1113,PFC-超粉链,1.4656
1114,BEC-美币,0.2086
1115,CKUSD-CK USD,6.692
1116,BTF-比特信仰,39.9577
1117,ZB-ZB生态,0.8356
1118,TK-TOK Token,0.1435
1119,ATP-星途协议,0.1208
1120,MOAC-墨客,3.1376
1121,SWTC-斯微特,0.005018
1122,BHD-比特硬盘,25.0003
1123,REPO-Repo Coin,3.5095
1124,NRC-新零售币,0.007607
1125,AOA-极光链,0.048852
1126,PAX-Paxos Standard,6.8453
1127,INB-Insight Chain,1.9927
1128,XIN-Mixin,718.85
1129,NPXS-Pundi X,0.004361
1130,ONG-Ontology Gas,2.0057
1131,IVNT-量子加密币,0.019403
1132,HSR-红烧肉,7.9411
1133,THETA-Theta,0.6015
1134,HYN-海伯利安,0.1948
1135,HDAC-Hdac,0.1494
1136,LKY-林奇,5.5302
1137,BHP-算力链,5.3218
1138,BCZERO-BCZERO,0.088898
1139,EURS-STASIS EURS,7.698
1140,WAN-万维链,1.9675
1141,PFT-PFT Token,8.2721
1142,CRO-CRO,0.086896
1143,NEXO-Nexo,0.4297
1144,BTY-比特元,0.7014
1145,FT-FCoin Token,0.1405
1146,BTMC-Bit Miner Chain,1.9444
1147,PAI-Project PAI,0.2028
1148,XET-永恒代币,3.7301
1149,BAXS-盒轴链,0.7471
1150,EMT-电音链,0.2628
1151,DGTX-Digitex Futures,0.2371
1152,OSA-OSA,0.1608
1153,FN-Filenet,5.5352
1154,NPC-NPC,0.0
1155,BNK-Bankera,0.014697
1156,APL-Apollo Currency,0.010692
1157,DFT-炖粉条,1.0011
1158,CET-CoinEx Token,0.043444
1159,ETZ-以太零,0.6217
1160,TCT-TokenClub,0.2179
1161,BZKY-Bizkey,0.084921
1162,GBC-Gold Bits Coin,0.79
1163,GT-Bitget Token,0.7205
1164,KEY-币乎,0.006495
1165,HYC-Hycon,0.057876
1166,INVE-InterValue,0.049914
1167,BF-BitForex Token,0.045699
1168,NSD-Nasdacoin,4.292
1169,NEC-Nectar,0.9194
1170,MITH-秘银币,0.2268
1171,SW-Super Wallet,5.4913
1172,BTCP-Bitcoin Private,7.4167
1173,BTH-比特热点,0.062099
1174,BTN-比新链,0.2168
1175,QNT-Quant,27.7913
1176,EDR-Endor Protocol,0.1999
1177,TRIP-Trip Token,5.0595
1178,BTP-比特支付,0.6202
1179,AUTO-Q博智能币,0.015555
1180,UBTC-比特联储,6.4489
1181,GO-GoChain,0.1296
1182,NLF-New Life,1.0093
1183,XYO-XYO Network,0.018831
1184,DLB-数链,0.093032
1185,SUT-Sum Token,1.2156
1186,LML-LML,0.6781
1187,BU-BU-TOKEN,0.1899
1188,SAFE-安网币,4.6482
1189,DATA-Streamr DATAcoin,0.1133
1190,BZNT-Bezant,0.173
1191,PMA-PumaPay,0.003503
1192,MAN-MATRIX,0.5379
1193,APIS-APIS,0.011462
1194,CARX-车誉链,0.4251
1195,SMART-SmartCash,0.062398
1196,CWV-CryptoWorld.VIP,0.018497
1197,TCH-Tiger Cash,0.1051
1198,ONE-ONE,0.009834
1199,ABC-ABC.Chain,0.1362
1200,RHOC-RChain,0.1873
1201,SMARTUP-SmartUp,0.057495
1202,INS-Insolar,1.8572
1203,NRG-Energi,3.8759
1204,RCOIN-R币,11.2722
1205,OST-OST,0.1366
1206,CHX-Own,1.5078
1207,BZ-Bit-Z Token,0.4584
1208,DDD-Scry,0.1334
1209,EOSC-EOS原力,0.077382
1210,AT-ABCC Token,0.5138
1211,VIAT-ViaBTC Token,0.051113
1212,GTC-G币,0.056684
1213,EBANK-以太坊银行,0.3506
1214,XMC-门罗经典,3.7036
1215,BCV-币威,0.095198
1216,NASH-纳希币,0.00083334
1217,NCASH-Nucleus Vision,0.011789
1218,GAT-Global AEX Token,0.003687
1219,NKN-NKN,0.1834
1220,MXC-MXC,0.056902
1221,JAC-联招链,0.010978
1222,NIX-NIX,1.1128
1223,AOG-smART OF GIVING,0.8758
1224,ICC-ICC,0.015834
1225,PHX-Red Pulse Phoenix,0.056166
1226,SCRL-Scroll,0.255
1227,CPT-Cryptaur,0.030075
1228,VITAE-Vitae,4.9118
1229,CVNT-Content Value Network,0.1051
1230,DEW-DEW,0.5149
1231,UL-优令,4.3587
1232,KAN-BitKan,0.008547
1233,EKT-多链技术,0.05016
1234,ECOREAL-Eco Real Estate,0.5074
1235,VITE-VITE,0.094973
1236,NOAH-Noah Coin,0.001384
1237,BEU-教育生态链,0.1151
1238,KEY-Selfkey,0.018735
1239,SBTC-超级比特币,2.6786
1240,BPX-布勒人参,0.069134
1241,MGD-羊驼币,0.3442
1242,MFT-Mainframe,0.024661
1243,BIT-币神,0.1859
1244,DICE-BetDice,0.009364
1245,CCCX-Clipper Coin,0.015473
1246,WWB-Wowbit,0.1428
1247,AMO-AMO Coin,0.00386
1248,SINOC-新诺科,0.058571
1249,NEWOS-传播链,0.011564
1250,JNT-加百利,0.2172
1251,NCS-牛币,0.081529
1252,COSM-Cosmo Coin,0.080712
1253,HLC-绿色食品链,0.070707
1254,DX-DxChain Token,0.00102
1255,LBTC-闪电比特币,11.0842
1256,RC-Racecoin,0.2189
1257,ZZEX-ZZEX Coin,0.6301
1258,SDA-六域链,0.030102
1259,FTM-Fantom,0.026881
1260,ATX-Aston,0.020956
1261,QNTU-QNTU,0.001134
1262,LP-LianPai Token,1.6549
1263,POA-POA Network,0.1848
1264,DIG-Dignity,0.04279
1265,OLE-Olive,0.009357
1266,ZIP-Zipper,0.002463
1267,LBA-Cred,0.061881
1268,ET-易能币,0.0
1269,YCC-原链,0.033535
1270,CTC-Credit Tag Chain,0.156
1271,ECOIN-E币,0.014792
1272,CET-畅思币,0.051855
1273,YOU-YOU Token,0.03077
1274,CAM-中企矩阵,0.4449
1275,QCH-QChi,1.6815
1276,META-Metadium,0.040952
1277,RFR-Refereum,0.012817
1278,RTH-Rotharium,7.3568
1279,CGK-菠菜,0.093911
1280,ECOM-Omnitude,0.4524
1281,BUC-Bit Union Coin,0.032997
1282,BPP-比特之光,0.057999
1283,DOCK-Dock,0.05868
1284,GRIN-Grin,35.4775
1285,PLY-PlayCoin [ERC20],0.1862
1286,THPC-德扑币,0.005149
1287,ROX-Robotina,0.128
1288,JEX-JEX Token,0.034679
1289,MR-怪兽,0.1456
1290,USE-Usechain Token,0.007947
1291,YKC-云开币,1.8443
1292,TTF-TTF,0.085377
1293,GIN-GINcoin,5.0623
1294,CRYP-CrypticCoin,0.010488
1295,PNT-梵塔网络,0.001382
1296,BOX-BOX,0.2786
1297,INO-Ino Coin,4.6005
1298,ZT-ZBG Token,0.2276
1299,777-777,0.005894
1300,MTN-Motion,0.059674
1301,DTA-DATA,0.004735
1302,CDR-数金币,0.265
1303,DCC-DCC,0.008186
1304,DGX-Digix Gold Token,297.93
1305,AFC-信用链,0.1241
1306,HPC-算力坊,0.049247
1307,SWFTC-速币,0.00681
1308,DERO-Dero,4.7367
1309,SKB-Sakura Bloom,0.008942
1310,DAPS-DAPS Token,0.00047626
1311,PAC-Paccoin,0.004922
1312,EOSDAC-eosDAC,0.038078
1313,DEC-DEC,0.5305
1314,CNN-CNN,0.00084008
1315,XEL-XEL,0.2079
1316,GSE-GSENetwork,0.002285
1317,GEN-DAOstack,0.7464
1318,UCTT-UCTT,0.010713
1319,IMT-Moneytoken,0.002393
1320,CZR-标准链,0.054089
1321,FOTA-Fortuna,0.05776
1322,OIO-Online,0.040754
1323,LIF-Winding Tree,0.8322
1324,OPQ-Opacity,0.1456
1325,ZCN-0chain,0.5329
1326,CHEX-CHEX,0.045133
1327,EDN-Eden,0.022992
1328,PAI-PCHAIN  Network,0.04168
1329,USC-幽闪付,6.8078
1330,TRIO-Tripio,0.011673
1331,SINS-SafeInsure,24.7272
1332,CBT-Commerceblock,0.05285
1333,VIN-VINchain,0.046155
1334,GENE-基因源码链,0.034897
1335,CNET-Currency Network,0.182
1336,HORUS-HorusPay,0.02131
1337,BWX-Blue Whale Token,0.00063461
1338,ATN-ATN,0.19
1339,BAAS-BaaSid,0.008629
1340,MRK-MARK.SPACE,0.033113
1341,SPC-太空链,0.033589
1342,TUBE-BitTube,0.1533
1343,ACG-艺术全球,0.0259
1344,IVY-Ivy,0.063876
1345,HMC-Hi Mutual Society,0.043669
1346,CLO-Callisto Network,0.019328
1347,SSP-Smartshare,0.006837
1348,DACS-Dacsee,0.022985
1349,SEER-SEER,0.004464
1350,FXT-FuzeX,0.019185
1351,CCC-控银币,0.018858
1352,CEEK-CEEK VR,0.035333
1353,DTX-DaTa eXchange,0.775
1354,FAB-​发链,0.49
1355,ISR-Insureum,0.049022
1356,ISC-I Chain,0.1362
1357,PLAT-BitGuild PLAT,0.005199
1358,POCS-支付链,0.4114
1359,NCC-NCC,0.029115
1360,YEE-亿币,0.007627
1361,HLM-Helium,0.4985
1362,IOG-Playgroundz,0.5384
1363,AVH-AVH,0.002982
1364,BOC-宾果币,0.075182
1365,QB-趣币,2.366
1366,BIKI-BIKI Token,0.03897
1367,BRM-梵币,0.02197
1368,OTB-OTCBTC Token,0.1634
1369,PTN-PalletOne,0.040352
1370,KARMA-KARMA,0.003702
1371,XHV-Haven,1.5902
1372,SOC-All Sports Coin,0.023646
1373,SEELE-元一代币,0.021977
1374,HIT-HitChain,0.00057903
1375,SEC-社交电商链,0.059034
1376,MOF-分子未来,0.2104
1377,EBC-EBCoin,0.003647
1378,HPT-火币矿池全球生态通证,0.018088
1379,BKBT-币快报币,0.003686
1380,CP-CoinPark Token,0.004571
1381,UGAS-超脑链,0.4857
1382,FTT-FarmaTrust,0.019532
1383,LET-林可爱,0.021589
1384,OF-福币,0.00121
1385,AIDOC-天医,0.023912
1386,WET-WeShow Token,0.067431
1387,SKM-时光簿,0.020302
1388,MCS-魔方链,0.9153
1389,FTI-FANSTIME,0.003554
1390,PAL-Pal Network,0.026336
1391,BTMX-BTMX Token,0.1243
1392,BAI-BAIC,0.00086848
1393,ADE-DMChain,0.059892
1394,DAX-DAEX,0.023714
1395,UBT-Unibright,0.1001
1396,ELET-源质币,0.002052
1397,KAT-Kambria,0.03267
1398,MESH-MeshBox,0.00621
1399,UUU-U Network,0.001792
1400,BSP-BSPNetwork,0.0
1401,NOTE-DNotes,0.070442
1402,TMT-Traxia,0.023837
1403,BCAC-商信链,0.019069
1404,HOT-Hydro,0.016788
1405,HVN-Hiveterminal,0.017258
1406,GARD-Hashgard,0.0003062
1407,OC-海洋币,0.002146
1408,BKK-币客币,0.122
1409,LCS-Local Coin Swap,0.4766
1410,QAC-Quasarcoin,0.1448
1411,TPT-TokenPocket,0.011659
1412,MOL-摩尔,0.00083211
1413,ZEL-ZelCash,0.2221
1414,SAC-SAC,0.2975
1415,TOS-TOS Token,0.021712
1416,MDT-量数币,0.026227
1417,FOXT-Fox Trading,0.8022
1418,SOUL-Phantasma,0.167
1419,WTL-Welltrado,0.2866
1420,BOX-ContentBox,0.014234
1421,PXC-妖精币,0.003181
1422,CARD-Cardstack,0.005932
1423,SEM-Semux,1.4642
1424,XDAG-Dagger,0.015902
1425,BKX-班凯克斯,0.082803
1426,TBT-Time Bank Token,0.011101
1427,CSI-CSI,0.00023823
1428,BXC-BonusCloud Token,0.007151
1429,LIGHT-光链,0.00021943
1430,YEED-Yggdrash,0.002466
1431,GET-Themis,0.008629
1432,RMESH-RightMesh,0.2253
1433,KCASH-Kcash,0.030681
1434,UBEX-Ubex,0.003644
1435,TTV-TV-TWO,0.040754
1436,SLU-Silubium,0.4185
1437,COIN-Coinvest,0.0
1438,EGT-Egretia Token,0.002476
1439,LFC-Linfinity,0.014996
1440,CEN-CEN,0.032132
1441,OSCH-开源链,0.00055554
1442,IFOOD-Ifoods Chain,0.004199
1443,MVL-MVL,0.001852
1444,EON-EON,0.005799
1445,SET-点集网络,0.0007461
1446,INSUR-InsurChain,0.001101
1447,COMC-社区链,0.2623
1448,INC-影链,0.042116
1449,PSM-普拉森,0.002218
1450,INV-Invacio,0.2056
1451,UNC-UniCoin,0.00118
1452,CNMC-农业生态链,0.03156
1453,MSR-Masari,0.7048
1454,CONI-Coni Token,0.052843
1455,GSC-光速链,0.022291
1456,HOR-时光币,0.007791
1457,DAG-DAG Token,0.056623
1458,TOL-Tolar,0.035285
1459,LPC-Lightpaycoin,1.0883
1460,ABYSS-The Abyss,0.035095
1461,CT-Coinyee Token,0.6892
1462,VITES-Vites Coin,0.0
1463,JRC-金融链,0.010978
1464,LXT-闪付币,0.011966
1465,BTT-BlockTrade,0.1516
1466,SUSD-sUSD,6.5654
1467,BIR-Birake,0.0
1468,SS-豆匣,0.024627
1469,MT-MyToken,0.008574
1470,ONL-On.Live,0.3416
1471,RED-红色令牌,0.04102
1472,AIC-AI Crypto,0.002302
1473,KKG-KKGame Token,0.002681
1474,MX-抹茶,0.020404
1475,DATX-DATx,0.004109
1476,PDX-PDX Blockchain,0.003304
1477,PC-推广链,0.001349
1478,TTT-TrustNote,0.02402
1479,VEX-Vexanium,0.021739
1480,ELI-Eligma Token,0.049342
1481,PAT-Patron,0.017012
1482,RCCC-RCCC,0.1244
1483,OLT-OneLedger,0.023101
1484,EOP-柚子空间,0.006154
1485,DAG-Constellation,0.00854
1486,XMX-XMAX,0.001018
1487,BOXX-BOXX Token,0.3101
1488,CBC-CashBet Coin,0.043294
1489,STK-STK Token,0.015868
1490,MAS-Midas Protocol,0.030477
1491,NBC-Niobium Coin,0.0
1492,MEET-CoinMeet,0.028284
1493,ESN-Ethersocial,0.1332
1494,OWN-OWNDATA,0.00052182
1495,PNK-Pinakion,0.033079
1496,FAIR-Fair.Game,0.010072
1497,CAI-CAI,0.00050718
1498,ARP-阿普协议,0.0
1499,SVD-savedroid,0.002557
1500,TTU-TaTaTu,0.045971
1501,STC-星链,0.010215
1502,QOS-QOS Chain,0.00608
1503,MLC-Mallcoin,0.0
1504,HAND-梭哈,1.396e-05
1505,XBI-XBI,0.4828
1506,MTC-MTC Mesh Token,0.016522
1507,IOV-车联网币,0.00433
1508,GUS-竞赛币,0.0
1509,SSC-SelfSell Coin,0.020533
1510,DAGT-DAGT,0.2713
1511,WIX-Wixlar,0.084676
1512,ZPR-ZPER token,0.007348
1513,AT-AWARE Token,0.01768
1514,PCH-POPCHAIN CASH,0.021528
1515,BBC-Tradove B2BCoin,0.01533
1516,ETK-EnergiToken,0.006148
1517,SEAL-Seal Network,0.005135
1518,WAB-WABnetwork,0.00056228
1519,BEET-Beetle Coin,0.034413
1520,EDU-教育积分,0.00090063
1521,PYN-Paycent,0.135
1522,OPX-Opes Protocol,0.012701
1523,KIND-Kind Ads Token,0.1121
1524,SUQA-SUQA,0.010828
1525,LIKE-赞赏币,0.013403
1526,WIN-WinToken,0.001677
1527,RPM-Repme,0.00010896
1528,TGAME-Truegame,0.06406
1529,IX-IX Token,0.009303
1530,FGC-法国菜,0.013021
1531,QBT-Qbao,0.114
1532,THRT-Thrive Token,0.063018
1533,SNTR-Silent Notary,7.546e-05
1534,DAT-Datum,0.005894
1535,FTX-FintruX Network,0.1862
1536,TOK-TOK Token,0.034475
1537,WIRE-AirWire,0.039297
1538,ABX-Arbidex,0.0
1539,18C-Block18,0.012953
1540,ACAT-Alphacat,0.001504
1541,ICR-InterCrone,0.2341
1542,HTB-HTB,0.0
1543,OMX-Shivom,0.004873
1544,FLP-Gameflip,0.1054
1545,AAC-锐角币,0.016379
1546,DB-数字区块,0.004864
1547,STB-软资链,0.032997
1548,FUC-富链,0.08932
1549,PHI-PHI Token,0.0
1550,PPS-预言家,0.01108
1551,PTT-质子链,0.0009231
1552,EXT-历链,0.00089899
1553,LEDU-Education Ecosystem,0.018797
1554,FACE-Faceter,0.008145
1555,3DC-3D链,0.1379
1556,PORTAL-Portal,0.010304
1557,BIZ-商链,0.003237
1558,TAT-乐块,0.00083511
1559,BUT-BitUP,0.009017
1560,VCT-ValueCyber,0.069393
1561,NBR-Niobio Cash,0.033651
1562,BLUE-Blue Protocol,0.1516
1563,MVP-Merculet,0.001529
1564,PMD-金字塔,0.011101
1565,UC-优币,0.0009812
1566,DANG-当当链,0.00809
1567,ABL-Airbloc,0.035244
1568,AAA-AAAChain,0.0013
1569,SDS-阿基米德,0.021766
1570,BIN-Bin,0.002089
1571,IMOS-智造链,0.016583
1572,SCTK-SharesChain,0.00041605
1573,BITX-BITX,0.048866
1574,DIY-DIY链,0.01296
1575,RET-RealTract,0.00074038
1576,ECN-E-Coin,0.0
1577,BOSS-BOSS Token,4.843
1578,SRCOIN-Srcoin,0.00063971
1579,MODX-MODEL-X-coin,0.1699
1580,VNT-维特链,0.005366
1581,VLD-Vetri,0.016338
1582,SCC-SiaCashCoin,0.00037499
1583,FISH-鱼币,0.005574
1584,KC-千云链,0.0155
1585,IQN-IQeon,1.4731
1586,LTHN-Lethean,0.008322
1587,CB-COINBIG Token,0.009255
1588,NKC-Nework,0.024817
1589,ERT-Eristica,0.021514
1590,UCN-优链,0.003269
1591,TAC-溯源链,0.012293
1592,XCASH-X-Cash,9.786e-05
1593,ZCR-ZCore,1.3021
1594,SOP-SoPay,0.007144
1595,BETHER-Bethereum,0.008397
1596,HSC-哈希币,0.00068732
1597,HVT-HireVibes,0.020166
1598,C8-C8,0.0
1599,0XBTC-0xBitcoin,1.2803
1600,ORS-本源币,0.020676
1601,IONC-IONChain,0.016651
1602,TKGN-托肯卫士,0.0
1603,RRC-RRCoin,0.010685
1604,AIT-智能链,0.005479
1605,WAL-Whale Token,0.039229
1606,PT-Predict Token,0.030279
1607,REF-引荐令牌,3.5476
1608,NPER-NPER,0.040393
1609,TOP-TOP.ONE COIN,0.002397
1610,FEX-FEX Token,0.0
1611,RCT-真链,0.004246
1612,BTRCM-比特魔方,0.1121
1613,LION-Coin Lion,0.084778
1614,BTI-Bitcoin Instant,0.006885
1615,GOOC-谷壳币,0.010815
1616,BTXC-Bettex Coin,0.5254
1617,CIC-云保链,0.001869
1618,NPXSXEM-Pundi X NEM,0.002802
1619,CRC-CryCash,0.4743
1620,XSG-SnowGem,0.3708
1621,XMCT-海医币,0.010631
1622,HER-HeroNode,0.00294
1623,AUX-Auxilium,0.021827
1624,KRL-Kryll,0.2843
1625,ALI-阿里币,0.002071
1626,RATING-DPRating,0.001637
